equipmentId;timestamp;value
EQ-124959;2024-02-15T01:30:00.000-05:;5.2
EQ-12492a;2023-01-12T01:30:00.000-05:00;8.8
EQ-12490;a2023-03-12T01:30:00.000-08:00b;0.0
EQ-12495;2024-04-08dT02:00:c00.000-05:00;70
EQ-12495;dia 8 de abril de 2024 9:30;80
EQ-12495;dia 8 de abril de 2024 9:30;60
EQ-12495;2024-04-08T03:30:00.000-05:00;cinquenta e cinco
EQ-12495;2024-04-08T04:00:00.000-05:00;12a
EQ-12495a;2024-04-0b8T04:30:00.000-05:00;c7
EQ-12495;131312024-04-08T05:00:00.000-05:00;a25
EQ-12495;a2023-03-12T01:30:00.000-08:00baa;14
EQ-1249500;2024-02-15T06:00:00.000-05:00;abc
EQ-12495;cakcmak2024-02-15T06:30:00.000-05:00cnacn;dois
EQ-12495;2024-02-15T07:30:00.000-05:00;139.4abc
EQ-1249523222;2024-02-15T07:00:00.000-05:00;122.12aae
EQ-12495;2024-02-15T08:30:00.000-05:00;0.5rea
EQ-12495;2024-02-15T09:30:00.000-05:00;10.7e
EQ-12495;2024-02-15T11:30:00.000-05:00;99.99aa
EQ-12495;2024-02-15T10:30:00.000-05:00;12.12wr
